Event_id,borough_id,crime_level,crime_level_weight
279763464,4,FELONY,3
279763549,4,MISDEMEANOR,2
279764552,2,MISDEMEANOR,2
279764562,4,MISDEMEANOR,2
279764566,4,FELONY,3
279764567,4,MISDEMEANOR,2
279767001,3,FELONY,3
279767019,2,MISDEMEANOR,2
279767035,4,MISDEMEANOR,2
279767330,3,MISDEMEANOR,2
279767346,2,FELONY,3
279767365,4,MISDEMEANOR,2
279767617,1,MISDEMEANOR,2
279767624,2,FELONY,3
279767625,2,FELONY,3
279767627,2,MISDEMEANOR,2
279768931,3,FELONY,3
279768934,1,FELONY,3
279768936,1,MISDEMEANOR,2
279768943,2,MISDEMEANOR,2
279768945,2,MISDEMEANOR,2
279769498,1,FELONY,3
279769515,2,MISDEMEANOR,2
279769516,2,MISDEMEANOR,2
279769535,5,MISDEMEANOR,2
279779903,3,VIOLATION,1
279779906,3,MISDEMEANOR,2
279779968,1,FELONY,3
279779969,1,MISDEMEANOR,2
279779970,1,VIOLATION,1
279779988,1,MISDEMEANOR,2
279779991,1,FELONY,3
279779994,1,FELONY,3
279779995,1,MISDEMEANOR,2
279780038,2,MISDEMEANOR,2
279780056,2,FELONY,3
279780059,2,FELONY,3
279780065,2,FELONY,3
279780067,2,FELONY,3
279780149,4,MISDEMEANOR,2
279780155,4,VIOLATION,1
279780173,4,MISDEMEANOR,2
279780176,4,MISDEMEANOR,2
279780180,4,FELONY,3
279780199,5,FELONY,3
279782046,3,FELONY,3
279782093,5,MISDEMEANOR,2
279784147,3,FELONY,3
279784167,1,FELONY,3
279784169,1,VIOLATION,1
279784197,4,MISDEMEANOR,2
279784198,4,FELONY,3
279786354,3,FELONY,3
279786402,4,FELONY,3
279788498,1,FELONY,3
279788518,2,MISDEMEANOR,2
279788519,2,FELONY,3
279789934,2,MISDEMEANOR,2
279791369,2,MISDEMEANOR,2
279791370,2,FELONY,3
279791372,2,MISDEMEANOR,2
279791383,4,MISDEMEANOR,2
279792820,3,MISDEMEANOR,2
279792847,2,MISDEMEANOR,2
279792848,2,FELONY,3
279792871,5,MISDEMEANOR,2
279794261,2,FELONY,3
279794265,2,MISDEMEANOR,2
279794267,2,MISDEMEANOR,2
279794284,4,FELONY,3
279794294,4,FELONY,3
279794521,1,VIOLATION,1
279794549,2,FELONY,3
279794674,1,VIOLATION,1
279794683,1,FELONY,3
279794697,2,MISDEMEANOR,2
279794717,4,MISDEMEANOR,2
279794719,4,FELONY,3
279794723,5,MISDEMEANOR,2
279794885,3,FELONY,3
279794911,2,FELONY,3
279794912,2,MISDEMEANOR,2
279794913,2,MISDEMEANOR,2
279794914,2,FELONY,3
279795404,3,FELONY,3
279795418,1,MISDEMEANOR,2
279795421,2,MISDEMEANOR,2
279795422,2,MISDEMEANOR,2
279795426,2,MISDEMEANOR,2
279795434,2,FELONY,3
279795435,2,VIOLATION,1
279795446,4,MISDEMEANOR,2
279799768,1,MISDEMEANOR,2
279799777,1,MISDEMEANOR,2
279799783,2,MISDEMEANOR,2
279800154,1,FELONY,3
279800162,2,FELONY,3
279800179,4,FELONY,3
279800544,3,MISDEMEANOR,2
279800545,3,FELONY,3
279800549,1,MISDEMEANOR,2
279800575,4,MISDEMEANOR,2
279800577,4,MISDEMEANOR,2
279802416,3,VIOLATION,1
279802421,3,FELONY,3
279802422,3,MISDEMEANOR,2
279802430,2,MISDEMEANOR,2
279803203,3,VIOLATION,1
279805447,3,MISDEMEANOR,2
279805452,3,MISDEMEANOR,2
279805462,1,MISDEMEANOR,2
279805466,1,MISDEMEANOR,2
279805467,1,MISDEMEANOR,2
279805483,2,MISDEMEANOR,2
279805510,4,VIOLATION,1
279805511,4,MISDEMEANOR,2
279805518,4,VIOLATION,1
279805519,4,VIOLATION,1
279805521,4,FELONY,3
279805522,4,VIOLATION,1
279807794,1,FELONY,3
279807847,4,FELONY,3
279810843,1,VIOLATION,1
279810844,1,MISDEMEANOR,2
279810879,2,VIOLATION,1
279813084,1,MISDEMEANOR,2
279813085,1,MISDEMEANOR,2
279813088,1,MISDEMEANOR,2
279813090,1,FELONY,3
279813091,1,FELONY,3
279813140,4,FELONY,3
279813141,4,MISDEMEANOR,2
279813148,5,FELONY,3
279815479,3,MISDEMEANOR,2
279815490,1,VIOLATION,1
279815491,1,MISDEMEANOR,2
279815502,1,FELONY,3
279815504,1,FELONY,3
279815523,2,FELONY,3
279815527,2,FELONY,3
279815546,4,MISDEMEANOR,2
279815547,4,MISDEMEANOR,2
279815567,4,MISDEMEANOR,2
279818361,1,FELONY,3
279818364,1,MISDEMEANOR,2
279818391,2,MISDEMEANOR,2
279820486,3,FELONY,3
279820490,3,FELONY,3
279820551,4,MISDEMEANOR,2
279820570,4,FELONY,3
279822562,3,FELONY,3
279822567,3,MISDEMEANOR,2
279822577,1,FELONY,3
279822596,2,MISDEMEANOR,2
279822597,2,VIOLATION,1
279822601,2,MISDEMEANOR,2
279822602,2,MISDEMEANOR,2
279822635,4,MISDEMEANOR,2
279825543,3,VIOLATION,1
279825593,2,MISDEMEANOR,2
279825605,2,FELONY,3
279825648,4,MISDEMEANOR,2
279825650,5,FELONY,3
279828974,1,MISDEMEANOR,2
279828975,1,MISDEMEANOR,2
279829010,2,FELONY,3
279829063,4,MISDEMEANOR,2
279833498,1,FELONY,3
279833507,1,MISDEMEANOR,2
279833508,1,FELONY,3
279833527,2,MISDEMEANOR,2
279833528,2,VIOLATION,1
279833533,2,FELONY,3
279833565,4,FELONY,3
279833577,4,MISDEMEANOR,2
279833578,4,FELONY,3
279837274,3,FELONY,3
279837281,3,MISDEMEANOR,2
279837310,1,FELONY,3
279837365,4,FELONY,3
279837366,4,VIOLATION,1
279837372,5,MISDEMEANOR,2
279840608,3,MISDEMEANOR,2
279840611,3,FELONY,3
279840628,1,FELONY,3
279840634,1,MISDEMEANOR,2
279840635,1,FELONY,3
279840637,1,MISDEMEANOR,2
279840657,2,MISDEMEANOR,2
279840658,2,MISDEMEANOR,2
279840659,2,MISDEMEANOR,2
279840663,2,FELONY,3
279840665,2,FELONY,3
279840675,2,MISDEMEANOR,2
279840697,4,MISDEMEANOR,2
279840713,4,FELONY,3
279843051,2,FELONY,3
279843052,2,FELONY,3
279843057,2,FELONY,3
279843090,4,MISDEMEANOR,2
279843091,4,FELONY,3
279843099,4,MISDEMEANOR,2
279843111,5,MISDEMEANOR,2
279845527,2,VIOLATION,1
279845563,4,VIOLATION,1
279845568,4,MISDEMEANOR,2
279845571,5,MISDEMEANOR,2
279846051,1,VIOLATION,1
279846067,2,VIOLATION,1
279846068,2,FELONY,3
279846075,2,FELONY,3
279846076,2,MISDEMEANOR,2
279846405,3,MISDEMEANOR,2
279846406,3,MISDEMEANOR,2
279846417,1,VIOLATION,1
279846432,2,FELONY,3
279846454,4,FELONY,3
279846638,3,VIOLATION,1
279846640,3,FELONY,3
279846648,1,MISDEMEANOR,2
279846657,2,MISDEMEANOR,2
279846660,2,FELONY,3
279846688,4,FELONY,3
279846689,4,MISDEMEANOR,2
279846690,4,FELONY,3
279847996,1,MISDEMEANOR,2
279847998,1,VIOLATION,1
279848007,2,MISDEMEANOR,2
279848013,2,MISDEMEANOR,2
279848035,4,MISDEMEANOR,2
279848036,4,MISDEMEANOR,2
279862730,1,VIOLATION,1
279864272,3,VIOLATION,1
279864288,1,FELONY,3
279867071,2,FELONY,3
279868036,3,VIOLATION,1
279868063,2,MISDEMEANOR,2
279868089,4,MISDEMEANOR,2
279870483,3,VIOLATION,1
279870486,3,MISDEMEANOR,2
279870491,3,MISDEMEANOR,2
279870492,3,VIOLATION,1
279870519,2,MISDEMEANOR,2
279870524,2,FELONY,3
279873052,3,FELONY,3
279873070,1,MISDEMEANOR,2
279873081,1,MISDEMEANOR,2
279873096,2,MISDEMEANOR,2
279873097,2,VIOLATION,1
279876281,1,MISDEMEANOR,2
279876291,2,MISDEMEANOR,2
279876329,4,MISDEMEANOR,2
